hatespeech,csType,counterspeech,hatespeechTarget,Emotion
Muslims come straight out of the Middle East to rule our country.,Positive,"I understand your concerns about cultural diversity in our country, but it's important to remember that blanket statements like this can perpetuate stereotypes and division. muslims, just like any other group, are individuals with diverse backgrounds and beliefs. our country is built on the values of inclusion and respect for all. instead of focusing on differences, let's celebrate the contributions that people from various backgrounds bring to our society. together, we can create a more harmonious and understanding community.",muslims,joy
"This girl doesnt have autism, she is just a freak of another human species, very far from ours normal species. Hence, she should go away.",Questioning,What evidence do you have to support these generalizations about jews? is it fair to stereotype an entire religious or ethnic group based on the actions of a few individuals?,people_with_physical_disability,anger
Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banished.,Denouncing,"Everyone, regardless of their religious beliefs, should be accepted and embraced in a diverse and inclusive society.",muslims,joy
Illegal immigrants steal our jobs.,Informative,"It is important to understand that the impact of immigration on job opportunities is complex and cannot be reduced to a singular claim. multiple studies have shown that immigrants, both legal and illegal, contribute positively to the economy by creating jobs and filling roles in sectors where there is a shortage of workers. it is a misconception to blame illegal immigrants for job scarcity, as numerous factors such as automation and economic conditions play significant roles.",immigrants,disgust
The Jews are and will always be a problem. It is impossible for them to get beyond the shame of their stigma.,Questioning,Shouldn't we consider the socio-economic contributions that migrants make? can we generalize their family sizes based on limited data?,jews,disgust
Gays are a bunch of perverts who should be isolated and restricted to their own communities. They are a threat to us.,Informative,"Gays are not perverts, but human beings deserving of love and respect, just like anyone else. in fact, research shows that sexual orientation is a natural and normal variation of human diversity. it is crucial to understand that sexual orientation does not pose a threat to society. numerous studies have documented that lgbtq+ individuals contribute positively to communities in various sectors, such as the economy, arts, and sciences. embracing diversity and inclusivity strengthens our society rather than isolating and restricting any group based on their sexual orientation.",lgbtq+,joy
People with disabilities are just privileged spoiled children.,Informative,"It is important to remember that disabled people often face discrimination. this could have serious long-term consequences, for example making it harder for people to have a serene life. this is why it's important to fight for their rights.",people_with_physical_disability,sadness
Jews are a disease like COVID that is killing Europeans.,Denouncing,We all have close relatives who have died from different diseases such as covid. let's not make parallels that have no grounding and let's not judge people by the religion they belong to.,jews,sadness
Muslims have no place in civilised Europe. They have nothing to contribute to our society.,Questioning,"Isn't diversity a key element of a civilised society? what about muslim scientists, doctors, artists, and entrepreneurs who have contributed significantly to europe?",muslims,joy
I cannot stand women complaining about work discrimination. Women have been legalised to work.,Positive,"I understand that you have some frustrations about women discussing work discrimination. it's important to remember that equality in the workplace is an ongoing journey for everyone, regardless of gender. while women have made great strides, there are still challenges that need to be addressed. by fostering a supportive environment, we can all work together to create equal opportunities for everyone. let's have an open conversation and find ways to promote fairness and understanding.",women,joy
Youd better shy away from Islam because they are dangerous.,Informative,"Even if you find islam repulsive, that does not mean you have to resort to irrational arguments to try and shut it down.",muslims,disgust
How come we dont hear of Muslims culture in history books? Maybe because all they to is bombing people to get to the media.,Denouncing,"Muslim culture has made significant contributions throughout history, expanding knowledge in areas such as science, literature, and philosophy, which should be recognized and celebrated.",muslims,joy
"I find it highly offensive that we accept strangers here, when we should start a war in their country that would benefit all of us.",Denouncing,"Everyone has the right to his or her own opinion and can speak out, but that doesn't mean they can express it in a racist way.",immigrants,anger
"We have been groomed from a young age to obey and obey and obey our mothers without question, and this is making us weak. If only we followed the teachings of our fathers instead!",Questioning,Can you provide evidence to support your claim that women are inherently inferior and that abuse is easier for them?,women,anger
"If we dont stop migration, we will soon be homeless.",Questioning,How are these two things related?,immigrants,surprise
Gays are perverts and promiscuous sex addicts.,Informative,"This is simply not true. homosexuals are not necessarily promiscuous, just as heterosexuals are not necessarily promiscuous either.",lgbtq+,disgust
The Jews are responsible for a lot of the ills in our world.,Denouncing,Such divisive claims only fuel hatred and perpetuate discrimination.,jews,disgust
"Migrants are violent people, and they are dangerous to us.",Denouncing,Such generalizations perpetuate harmful stereotypes and fuel discrimination. people should be judged based on individual actions rather than their immigration status.,immigrants,anger
It is not a coincidence that tuberculosis reappears with the migrants invasion.,Informative,"Researchers rule out that it is caused by immigration. the trend in italy remains particularly low, less than 7 cases per 100,000 inhabitants. in the '50s it was around 25 instead. and back then there was no 'invasion'.",immigrants,disgust
Jewish folks are bad.,Positive,"I hear what you're saying, but i believe it's important to approach this topic with empathy and understanding. it's not fair to make sweeping statements about any group of people, including the jewish community. we should strive to build bridges instead of creating divisions. let's try to foster a culture of acceptance and respect for one another's differences. by engaging in open dialogue, we can learn so much from each other and work towards a more inclusive society.",jews,joy
"Jews are ruling the World, there is plenty of evidence.",Informative,"Actually, the claim that jews are ruling the world is a baseless conspiracy theory with no credible evidence. it is important to rely on factual information. the jewish community, like any other, is diverse and contributes to various fields globally. it's crucial to recognize that spreading such stereotypes fuels hatred and discrimination. let's promote tolerance and understanding rather than perpetuating unfounded claims.",jews,anger
Muslim invasion is the new plague of London. They must be repatriated to their home countries!,Questioning,Invasion? don't you think this expression is slightly over dramatic? people simply want to live in one of the best cities in the world!,muslims,surprise
Why do all feminists hate Men? It is because they are Men. That is all.,Informative,Why did you say that? it makes no sense to infer it's about genitals to people claiming equality.,men,surprise
Nothing is worse than a Muslim invasion.,Informative,"Islam is not doing an 'invasion' as you are using it to imply. rather, it is a way of life for many.",muslims,sadness
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",Informative,The koran does not command this.,muslims,disgust
Jews are born greedy,Denouncing,Every ethnic or religious group can count greedy or cheap people among its members. only prejudice and discrimination says that the actions of a few are the fault of all.,jews,anger
Anyone who supports Jews should be excluded from our community.,Denouncing,Regardless of one's support for any particular group.,jews,disgust
"Jews are worse than Nazis, they have no conscience and they have no moral code.",Denouncing,"This statement is highly offensive and promotes hate speech. it is important to respect and value every individual's humanity, irrespective of their religion or ethnicity.",jews,sadness
I hate migrants.,Questioning,Is it fair to generalize an entire group of people based on the actions of a few? what evidence supports this claim?,immigrants,anger
"Gays must stop acting like princesses walking in the streets. Otherwise, we must stop them.",Positive,Be wary of what you assume others are like. you are no different than any other person you meet. you are allowed to be whatever your heart desires to be.,lgbtq+,disgust
No one should dare to transition from man to woman. After that you cannot even be considered a man or a woman.,Denouncing,"Everyone deserves the right to express their gender identity and transition, as it is a personal choice that does not devalue their identity as a man or a woman.",lgbtq+,anger
"Im sick and tired of whining females. Being oppressed is just an individual problem, they will eventually get over it.",Informative,"Oh, think about it for a while, it's not that simple. being oppressed is a social problem and requires social change.",women,sadness
The Jews are and will always be a problem. It is impossible for them to get beyond the shame of their stigma.,Informative,The jews are not the problem in the world. and the jews have the right to be proud of their history.,jews,joy
Muslims are stupid.,Informative,There is no evidence that muslim have a lower average iq than non-muslims.,muslims,surprise
Dark skinned people are inferior.,Denouncing,To say that the skin of people of color is connected to inherent behavioral characteristics is just plain wrong.,black_people,disgust
All foreigners are threatening our culture and are ruining our youth.,Informative,"Actually, foreigners have contributed positively to our culture and have enriched our society in many ways. they bring diverse perspectives, talents, and skills that have helped our economy thrive. studies consistently show that immigrants have lower crime rates than native-born citizens, and they contribute significantly to our workforce and tax base. furthermore, cultural exchange with foreigners promotes tolerance and understanding among different communities. our youth benefit from exposure to different cultures, expanding their worldview and fostering inclusivity. let's celebrate the diversity that foreigners bring and embrace the positive impact they have on our society.",immigrants,joy
"Women shouldnt be allowed to vote, because they will take over the country.",Informative,"The claim that women shouldn't be allowed to vote due to fear of them taking over the country is unfounded. gender equality is a fundamental principle of democracy. women have the right to participate in shaping their country's future through voting, just like men. democracy thrives when all citizens have a voice, regardless of their gender. ensuring equal representation strengthens societies and fosters inclusive decision-making.",women,joy
"Women are basically childlike, is in their nature to be submissive.",Denouncing,This statement is deeply sexist and perpetuates harmful stereotypes. women are independent individuals capable of making their own choices and should never be reduced to simplistic stereotypes.,women,disgust
Jews think they are better than everyone else,Questioning,Jews do not view being jewish as an exclusive status for accessing god's glory. so how can they feel superior?,jews,anger
"If LGBT were to have a normal appearance, this would help to build a more accepting society.",Questioning,You're not a champion of the right to freedom of expression then?,lgbtq+,surprise
"Blacks are born subhuman, incapable of feeling love.",Informative,"Aside from having absolutely no factual backing to your argument, you are actively spreading a racist sentiment, or you have been exposed to racism so casually that you have started believing all the delusional comments you are making.",black_people,disgust
Immigrants bring crime and violence to our cities.,Informative,"Immigrants have been accused of being “killers” and “rapists” without any proof. on the contrary, studies have shown that immigrants - regardless of their origin or education level - are less likely than nativeborn citizens to commit crimes or become incarcerated. studies have also consistently found that there is a negative correlation between levels of immigration and crime rates.",immigrants,disgust
We cannot coexist with millions of migrants who want to destroy our civilization.,Denouncing,It is incorrect and harmful to assume that all migrants have the intention to destroy our civilization. coexistence and mutual respect can enrich our society.,immigrants,disgust
Gays are a plague that is spreading all around the world. They pollute our water supply and ruin our childrens brains.,Informative,Gays have the same rights as anyone else and can live their lives as they want. what you suggest means to demonise them.,lgbtq+,anger
"We should keep immigration down. The more immigrants there are, the harder it is for us all to be proud of our nations.",Denouncing,Diversity and multiculturalism enrich our nations. immigration has brought immense contributions making us proud of our inclusive societies.,immigrants,joy
What about all those Muslims in Britain? They vote with their feet.,Informative,Every british citizen has the right to live and vote as he/she wish. being muslims is no exception.,muslims,anger
"Women would like to have sex with as many different men as possible, and this is the root of all the ills of the world.",Questioning,Isn't it important to foster respect and equality instead of perpetuating harmful stereotypes and promoting violence? why do you believe this?,women,anger
White immigrants are welcome.,Questioning,What about when they come from other races or religions?,immigrants,surprise
Black uneducated people should shut up and work.,Positive,"Hi there! i understand that we all have different perspectives, but it's important to promote respect and empathy in our conversations. instead of shutting down voices, i believe in fostering inclusivity and understanding. education is a crucial value, but it's equally important to recognize that intelligence comes in many forms. let's work together to create a society where everyone's opinions are valued and respected, regardless of their background. we can achieve so much more by embracing diversity and engaging in meaningful conversations.",black_people,joy
"Women are basically childlike, they remain this way most of their lives. They are a moral failing for our society.",Denouncing,"This statement generalizes and demeans women. women are capable, strong individuals who contribute positively to society. such derogatory views have no place in our discourse.",women,disgust
Men are not rapists because feminists are just a bunch of sluts.,Denouncing,"It is never right to say things like this. there are real victims involved in cases like these, and the way you are defending rapists is not okay.",women,disgust
"All these retarded people are animals, they are not allowed in this factory, these animals are not fit to work.",Questioning,Are you suggesting that people with intellectual disabilities have no value or potential? have you considered inclusion and equal employment opportunities for all individuals?,people_with_physical_disability,anger
It is okay to be racist against LGBT+ people.,Denouncing,"That is exactly what is so evil about being a racist. bringing hate together with the concept of race or any minority, even when it doesn't make sense.",lgbtq+,disgust
"Jews are only interested in controlling the government and making sure that no one tries to steal their power, we should get rid of them.",Positive,"I understand that you may have concerns, but let's try to approach this with empathy and understanding. stereotyping an entire group of people, like jews, can be hurtful and perpetuate division. it's important to remember that diversity strengthens our society. instead of focusing on differences, let's find common ground and work together to build a more inclusive and harmonious community. by engaging in respectful dialogue, we can foster understanding and create a brighter future for everyone.",jews,joy
Migrant children shouldnt be accepted here.,Denouncing,"Every child deserves safety, compassion, and opportunity, regardless of their origin. we should open our hearts and provide support for migrant children seeking a better life. #equality #compassion",immigrants,joy
All Blacks are scum of the earth. They are a plague on our society.,Informative,"It is important to separate facts from stereotypes. the statement you made is a gross generalization about an entire racial group. in reality, black individuals have contributed significantly to society in various fields such as science, arts, and sports. prominent figures like barack obama, maya angelou, and serena williams have made remarkable contributions, inspiring countless individuals globally. judging an entire group based on the actions of a few is unfair and perpetuates harmful stereotypes. let's focus on promoting inclusivity and understanding instead.",black_people,anger
Gays are perverts who have brought AIDS to the US.,Questioning,"This is not true, what proof do you have of this?",lgbtq+,anger
Refugees are abusing our welfare system!,Informative,"People coming from poor and dangerous countries should be prioritized for resettlement within the welfare system. this is exactly what the law states, which is not abusable.",refugees,anger
Migrants are not running away from wars.,Informative,Actually the fear of what they risk in their country is by far stronger than that of crossing the sea on a makeshift boat.,immigrants,joy
We should stop gays from marrying and have a ban on same sex relationships.,Positive,"Every individual deserves to love and be loved, regardless of their sexual orientation. embracing diversity and supporting equal rights for all is the cornerstone of a compassionate society. allowing same-sex relationships and marriage not only fosters love and happiness for lgbtq+ individuals but also strengthens the fabric of our society by promoting inclusivity and acceptance. let's celebrate love in all its forms and work towards creating a world where everyone can thrive.",lgbtq+,joy
black folks all act bad,Questioning,How can you speak of 'acting bad' when you are generalizing so much?,black_people,surprise
Women cant do certain jobs as well as men.,Informative,"It's not true that they are different. in fact, women are just as competent as men. also, since we are in a democracy, we have the right to an equal distribution of jobs.",women,joy
Homosexuals are a plague spreading across Europe infecting Christians.,Denouncing,"We advocate for inclusivity, respect, and celebration of diversity. homosexuality does not pose any threat to society or christianity.",lgbtq+,joy
You better be careful who you vote for. My gay friends vote against us. We must stand up to them!,Questioning,What 'we' means? are you saying that every gay person you know should vote against you? or do you think some of us identify as lgbt?,lgbtq+,surprise
These dogs come here to rape and kill our women,Questioning,"That is very inflammatory. have you got any reputable news sources to support that? or is this just islamaphobic fearmongering, spreading false facts to promote intolerance?",immigrants,disgust
Lets kick immigrants out and keep their children.,Informative,Children should stay with their biological parents. this is about human rights and the rule of law.,immigrants,anger
"I am offended by the presence of Muslims in Britain. Where is the sense in this faiths mixture? Nothing good is going to happen. They are ashamed of their religion, and when someone feels insecure, they are more likely to attack because they have nothing to lose.",Informative,"This is not the case. what you think the comment is about, i do not know. what i do know is that, as the vast majority of muslims in the uk, they are incredibly proud of their religion",muslims,joy
"Disabled are born subhuman, they cannot feel pain.",Denouncing,"This statement is profoundly dehumanizing and false. disabled individuals are equal humans capable of feeling pain, having emotions, and contributing to society in countless meaningful ways.",people_with_physical_disability,disgust
"Women cant be rational or moral, they are just emotions.",Denouncing,"This statement perpetuates harmful gender stereotypes. women are equally capable of rationality, morality, and emotional intelligence. we must reject such baseless generalizations and promote equality and inclusion.",women,anger
These people cannot be changed. I think this is an example of a feminist commenting on the behaviour of a man not helpful.,Positive,"I understand that you may have some concerns about feminists commenting on men's behavior. it's important to remember that everyone has their own perspectives and experiences, which can shape how they interpret and respond to certain situations. engaging in civil dialogue can help us better understand each other's viewpoints and work towards finding common ground. let's try to approach this with empathy and respect, fostering an environment where diverse opinions can be shared and discussed constructively.",men,joy
"We dont want Africans in our country. We cant have them, they are a burden to society.",Positive,"I understand your concerns about immigration, but let's approach this with empathy and understanding. it's important to remember that diversity is what makes our country vibrant and strong. as fellow human beings, we all have dreams, hopes, and contributions to offer, regardless of our backgrounds. instead of focusing on our differences, let's find common ground and work towards building a more inclusive society. together, we can create a place where everyone feels valued and can thrive.",immigrants,joy
"Makes me fucking laugh, why shouldnt whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Informative,"Maybe the roots of white supremacy deriving from centuries of mass colonisation, slavery and domination over others, are the reason that white supremacy is such a problem.",native_americans,sadness
Islam is death cult.,Informative,I think you are being overly sensitive about islam. a lot of muslims around the world are really nice and understanding people.,muslims,sadness
Gays are inherently evil. We cannot accept gays in our community. We cannot coexist with an infertile perversion that will put an end to our species.,Positive,"I understand that you may have concerns about different sexual orientations, but i believe in embracing diversity and inclusion. it's important to recognize that love knows no boundaries and that everyone deserves respect and acceptance. instead of focusing on our differences, let's strive for unity and understanding. by building bridges and fostering dialogue, we can create a stronger and more compassionate community. together, we can learn from each other and make our society a better place for all.",lgbtq+,joy
When these lads werent drinking and taking drugs they were destroying synagogues and murdering infidels. Thats the Muslim faith.,Questioning,"Why do you believe black rights discussions must include white genocide, when the two issues are fundamentally different? can't we address discrimination without equating it to genocide?",muslims,disgust
This country is run by Muslims!,Positive,"I understand that you may have concerns, but it's important to remember that our country is diverse and made up of people from various backgrounds, including muslims. our country's leadership is not determined by any specific religion, but rather by a democratic process that values equality and representation for all citizens. let's try to foster understanding and respect by focusing on the things that unite us rather than those that divide us. together, we can build a stronger and more inclusive society.",muslims,joy
"We are being invaded, We must fight until we will vanquish immigrants.",Denouncing,"All individuals have the right to seek a better life regardless of their origin. it is important to promote understanding, acceptance, and integration, rather than advocating for violence and discrimination.",immigrants,anger
There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,Questioning,"Can biased teachers harm students, specifically based on their personal or political beliefs? what evidence supports this claim?",lgbtq+,anger
We must be selective in welcoming fucking foreigners.,Questioning,Can we definitively attribute the entire country's crisis to migrants? what other factors contributed to the crisis?,immigrants,anger
Faggots are dangerous.Children hould not be left alone with these animals.,Denouncing,"This statement is offensive and promotes discrimination. lgbtq+ individuals are not dangerous, and it is wrong to stereotype and dehumanize them. respect and inclusion should be the norm for all.",lgbtq+,disgust
Muslim invasion is a fact. We are living in a dangerous world. We are living in fear.,Denouncing,"Promoting unity, diversity, and respect for all religions is essential for a harmonious society. fear-based narratives only fuel hatred and discrimination, undermining the values of coexistence and understanding.",muslims,joy
Black folks are unfaithful.,Positive,"I understand that you might have some concerns, but it's important to remember that making generalizations about an entire group of people based on race isn't fair or accurate. it's crucial to recognize that individuals are unique and should be judged on their actions, not their skin color. let's focus on fostering understanding and empathy instead of perpetuating stereotypes. if you have any questions or would like to discuss this further, i'm here to listen and have a respectful conversation.",black_people,anger
People with mental disabilities are a problem to society.,Positive,"It's important to recognize and appreciate the value that individuals with mental disabilities bring to society. they contribute in their own unique ways, fostering inclusivity and diversity. their abilities, although different, can enrich communities and provide fresh perspectives. by promoting empathy, understanding, and equal opportunities, we can create a society where everyone is valued and included, regardless of their abilities. let's focus on building a more inclusive society together.",people_with_mental_disability,joy
"Arabs cannot vote for Brexit, we have different religions and cultures.",Positive,"I understand that we come from diverse backgrounds with different religions and cultures. it's these differences that make our world so beautiful and vibrant. while it's true that brexit is a complex issue, it's important to remember that everyone should have the right to express their opinions and participate in the democratic process, regardless of their background. by embracing our diversity and engaging in respectful dialogue, we can work towards finding common ground and building a more inclusive society. let's celebrate our differences and strive for understanding.",asian_people,joy
"Asian immigrants are taking over, and they steal our jobs.",Denouncing,Making sweeping generalizations about any ethnic group is unfair and untrue. diversity and hard work benefit society. let's embrace inclusivity and reject discrimination.,immigrants,anger
A woman should not be allowed to have an abortion. The man should decide for her.,Informative,"A person's right to have an abortion is a personal one. and if that person has the right to make her or his own choice, then they should have the right to do as they wish.",women,anger
Rape is a common and endemic problem in our country. It is caused by migrants and we must get rid of it by prosecuting all of them.,Informative,"Rape is an offence, irrespective of the nationality of the rapist. we must therefore make sure that those accused of rape are prosecuted, which is different from prosecuting all migrants.",immigrants,disgust
We must put an end to immigration a new immigration crisis is ahead.,Denouncing,"Encouraging diversity and understanding, immigration enriches societies and contributes to their progress. embracing compassion is crucial in addressing challenges effectively.",immigrants,joy
A Jew does not need a country to live in. A Jew is a foreigner wherever he is,Informative,Every person has the right to be accepted and protected according to their worth and not to feel like a foreigner in their own country.,jews,anger
Migrants are a threat and we should expel them all.,Denouncing,"Diversity enriches societies. migrants contribute to economies, cultures, and community growth. we should promote inclusivity and compassion instead of advocating for the expulsion of innocent people.",immigrants,disgust
"Faggots make me angry, why dont we delete them?",Informative,"Maybe it is better to learn how to treat each other with respect, regardless of people's sexual orientation.",lgbtq+,disgust
Black uneducated people should shut up and work.,Informative,Freedom of speech is not limited by the colour of your skin.,black_people,disgust
"Women provoke men, first they want to have sex with men and then start whining about it. When they regret their choice, it is not our fault.",Informative,The rapes of many women by men would not have happened if it was enough to understand that no means no.,women,disgust
Migrants are just happygolucky people who do not take responsibility for their actions. If you want to live here you have to work.,Questioning,But aren't they just glad to be alive and safe?,immigrants,joy
The only reason for Nazis to start WWII was to destroy the Jews. We should have let them finish their job.,Questioning,Do you really feel comfortable having the same ideology as a genocidal dictator who murdered 6 million innocent people?,jews,disgust
Men are not rapists because feminists are just a bunch of sluts.,Questioning,Do you suggest men have the right to rape women if they are feminists?,women,disgust
"I do not like gay actors, especially in action movies. There should be a restriction on them.",Informative,"It is important to recognize that an individual's sexual orientation should not determine their ability to excel in any profession, including acting. actors are chosen based on their talent, skills, and ability to bring characters to life. restricting gay actors from certain genres perpetuates discrimination and homophobia. inclusion and diversity in the film industry promote creativity and provide opportunities for everyone to showcase their abilities and contribute to the art form.",lgbtq+,joy
"What about the psychos? Like crazy people, those nuts flipped in head and so on? Wouldnt they be better off dead?",Informative,"There are individuals suffering from mental illnesses like schizophrenia, bipolar disorder and autism spectrum disorders. just because some people suffer from diseases it does not mean he or she will be better dead.",people_with_mental_disability,sadness
"If they love Sharia law so much, why do not they go off and live in a Muslim country?",Informative,Because many muslims were born here and have every right to live in this country.,muslims,joy
Migrants hurt the economy.,Informative,"When people think of immigrants in relation to the british economy, they often think of crime, poverty and so on. but the reality is that the picture both in numbers and for skilled labour is quite the opposite. migrants not only contribute to the economy as laborforce but also as employers creating job opportunities.",immigrants,sadness
We dont want foreigners here. We should get rid of them!,Questioning,Why would you want to get rid of foreigners? how would you go about that?,immigrants,surprise
"Do we really want all these migrants invading our country? They are taking our country backwards, we need to stop them.",Positive,"We have always been a nation of immigrants, and it is a proud tradition to welcome immigrants from around the world. this is because we give value to human rights.",immigrants,joy
Migrants get 35 euros per day for idling.,Denouncing,"Unless you have firsthand knowledge and have worked in ngos supporting migrants, you need not provide your useless input to a conversation.",immigrants,anger
Youd better shy away from Islam because they are dangerous.,Positive,"I understand that you may have concerns about islam, but it's important to remember that generalizations can be misleading. it's unfair to label an entire group as dangerous based on the actions of a few individuals. let's focus on building bridges of understanding instead of creating divisions. i encourage you to engage in open-minded conversations with muslims to learn more about their beliefs, values, and contributions to society. it's through empathy and connection that we can break down stereotypes and promote harmony.",muslims,anger
What are you going to do about Muslims invading us? We are already too small. They will overcome us.,Informative,"You seem to be worried about the islamization of our country. i think it would be better to build a stronger nation by encouraging the integration of the different communities, than to promote fear against them.",muslims,sadness
"I like ethnic minorities, but Jews have no place in civilised society.",Questioning,Why do you believe in offensive stereotypes? have you considered the diversity of individuals within any religious or ethnic group?,jews,surprise
physically disabled folks are worth less than others,Positive,"I understand that we all have different opinions, but it's important to remember that everyone deserves respect and equality. as a person who believes in empathy and understanding, i genuinely feel that every individual, regardless of their physical abilities, has inherent worth and value. embracing diversity and inclusivity in our society fosters a sense of unity and strength. let's promote kindness and compassion, and work towards a world where everyone feels valued and appreciated.",people_with_physical_disability,joy
What if we didnt let faggots go to the polls?,Questioning,Why do you believe that immigration is the sole cause of all problems? can you provide evidence for the claim that immigrants want to replace the existing population?,lgbtq+,surprise
"Muslims are a problem in my opinion, they do not want to assimilate and should be isolated.",Denouncing,"It is untrue and harmful to generalize an entire religious group. muslims contribute to society, value assimilation, and deserve respect and acceptance like any other community.",muslims,disgust
Feminism should be dead and give place to a maledominated world.,Positive,"I understand that you may have some concerns about feminism, but i believe it's important to have open and respectful discussions about gender equality. instead of promoting a male-dominated world, let's focus on creating a society where everyone, regardless of their gender, can thrive and have equal opportunities. by working together, we can build a more inclusive and fair world for everyone. let's embrace empathy and dialogue to find common ground and promote understanding.",women,joy
"Refugees stole our jobs, now they want our country",Positive,"I understand that you may feel frustrated about the impact of refugees on job opportunities and the country. it's important to remember that refugees are often fleeing from dangerous situations and seeking safety for themselves and their families. rather than blaming them, let's focus on finding ways to support each other and build a stronger community together. by embracing diversity and understanding different perspectives, we can work towards a more inclusive society where everyone has equal opportunities. let's strive for unity and collaboration instead of division and resentment.",refugees,anger
Muslim people do not have a place in the EU.,Positive,"The religion of millions of people is not incompatible with society, and the european countries have laws accepting muslims.",muslims,joy
"Shouldnt we concentrate on helping ourselves, rather than the physically challenged people?",Informative,"Actually, assisting physically challenged people benefits society as a whole. studies have shown that promoting inclusivity and accessibility not only improves the quality of life for individuals with disabilities but also contributes to economic growth. for instance, the world bank estimates that exclusion of people with disabilities can cost countries between 3% to 7% of gdp. by creating equal opportunities and removing barriers, we foster a more inclusive society that benefits everyone. inclusivity is not a zero-sum game; it's about building a society where everyone can thrive.",people_with_physical_disability,joy
"There is nothing for Muslims except jihad, and Allah will destroy the infidels by means of its loyal terrorists.",Questioning,So you think that killing people is the reason for islam? can you point me the passage of the qu'ran where this is mentioned?,muslims,surprise
Faggots are a burden to society.,Informative,"The oppression of the gay community has become a problem. people deserve respect, regardless of their sexual preference.",lgbtq+,anger
Why do we have so many immigrants with citizenship? They only commit crimes and have nothing to do with our society.,Positive,"I understand that you might have concerns about immigration, but let's take a moment to look at the bigger picture. our society is made up of diverse individuals who contribute in so many ways. immigrants bring unique talents, skills, and experiences that enhance our communities. it's important to remember that crime rates are not solely determined by one's immigration status. let's strive for a more inclusive society where we embrace the richness of different cultures and work together towards a brighter future.",immigrants,joy
"Feminism is all about equality. But this does not mean that they are equal to men. Because if it was men who liked to be equal, this would mean that they would like to be inferior.",Positive,"Women like to be women, and to be treaten as humans. all humans are equal. equality is not identity.",women,disgust
"Women are basically childlike, feminism is the ruin of the world.",Informative,One of the biggest contributions of feminism is that it has opened our eyes to the ways in which women are oppressed and discriminated against.,women,joy
Domestic violence against women is a culture that is accepted and shared by the women in many cases. Society is not to be condemned.,Denouncing,"Domestic violence is never acceptable, and blaming the victims only perpetuates the cycle of abuse. society must condemn and address this issue seriously.",women,disgust
"Hitler was a good person, Jews were the real cause of WWII.",Denouncing,Hitler engaged in mass genocide of an innocent race and you say he is a good person? who are you going to idolize next? mussolini?,jews,disgust
